"model","status","explanation"
"mistral:latest","PASS","PASS = all runs completed within 180 seconds and produced valid SQL. FAIL = timeout or invalid SQL. Metrics used: prompt_tokens (input size), generated_tokens (output size), eval_duration_sec (generation time), total_duration_sec (end-to-end latency), tokens_per_sec (efficiency), time_total_sec (decision threshold)."
"qwen2.5-coder:latest","PASS","PASS = all runs completed within 180 seconds and produced valid SQL. FAIL = timeout or invalid SQL. Metrics used: prompt_tokens (input size), generated_tokens (output size), eval_duration_sec (generation time), total_duration_sec (end-to-end latency), tokens_per_sec (efficiency), time_total_sec (decision threshold)."
"qwen3:8b","PASS","PASS = all runs completed within 180 seconds and produced valid SQL. FAIL = timeout or invalid SQL. Metrics used: prompt_tokens (input size), generated_tokens (output size), eval_duration_sec (generation time), total_duration_sec (end-to-end latency), tokens_per_sec (efficiency), time_total_sec (decision threshold)."
